127.0.0.1 - - [16/May/2017:19:06:17 +0800] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/May/2017:19:06:57 +0800] "GET /ecp-web/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:06:59 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:06:59 +0800] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [16/May/2017:19:06:59 +0800] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [16/May/2017:19:10:11 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:10:57 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:11:23 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:17:01 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:20:48 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:20:55 +0800] "GET /ecp-web/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:20:55 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:21:34 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:07 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:07 +0800] "GET /ecp-web/static/css/home.css HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:10 +0800] "GET /ecp-web/front/product/search/category/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:17 +0800] "GET /ecp-web/front/home/register HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:27 +0800] "POST /ecp-web/front/agent/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:27 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:30 +0800] "GET /ecp-web/front/home/login HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:33 +0800] "POST /ecp-web/front/agent/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:33 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:36 +0800] "GET /ecp-web/front/home/unRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:36 +0800] "GET /ecp-web/front/home/login HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:37 +0800] "POST /ecp-web/front/agent/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:22:37 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [16/May/2017:19:24:41 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [16/May/2017:19:24:44 +0800] "GET /ecp-web/front/product/search/category/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:25:05 +0800] "GET /ecp-web/front/product/search/category/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:25:08 +0800] "GET /ecp-web/front/product/search/category/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:25:10 +0800] "GET /ecp-web/front/product/search/category/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:25:14 +0800] "GET /ecp-web/front/product/search/category/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:25:17 +0800] "GET /ecp-web/front/product/search/category/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:25:20 +0800] "GET /ecp-web/front/product/search/category/1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:26:44 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [16/May/2017:19:26:59 +0800] "GET /ecp-web/front/product/search/category/0 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:27:25 +0800] "GET /ecp-web/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:27:25 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [16/May/2017:19:27:35 +0800] "GET /ecp-web/front/home/chart HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:28:22 +0800] "GET /ecp-web/front/home/chart HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:53:15 +0800] "GET /ecp-web/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:53:15 +0800] "GET /ecp-web/front/home/home HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [16/May/2017:19:53:15 +0800] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [16/May/2017:19:53:18 +0800] "GET /ecp-web/front/home/chart HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [16/May/2017:19:54:15 +0800] "GET /ecp-web/front/home/chart HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/May/2017:19:54:38 +0800] "GET /ecp-web/front/home/chart HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/May/2017:19:55:14 +0800] "GET /ecp-web/front/home/chart HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [16/May/2017:19:56:55 +0800] "GET /ecp-web/front/home/chart HTTP/1.1" 200 1851
