0:0:0:0:0:0:0:1 - - [25/May/2017:00:11:48 +0800] "GET /ecp-web/front/search/category/13 HTTP/1.1" 200 7573
0:0:0:0:0:0:0:1 - - [25/May/2017:00:11:50 +0800] "GET /ecp-web/front/product/detail/1 HTTP/1.1" 200 8784
0:0:0:0:0:0:0:1 - - [25/May/2017:00:12:38 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8189
0:0:0:0:0:0:0:1 - - [25/May/2017:00:41:33 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8308
0:0:0:0:0:0:0:1 - - [25/May/2017:00:41:33 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:41:33 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:41:33 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:41:33 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:41:33 +0800] "GET /ecp-web/static/images/samsung.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:43:23 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [25/May/2017:00:43:23 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:43:23 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:43:23 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:43:23 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:43:23 +0800] "GET /ecp-web/static/images/samsung.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:44:28 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [25/May/2017:00:44:28 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:44:28 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:44:28 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:44:28 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:44:28 +0800] "GET /ecp-web/static/images/samsung.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:45:23 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8150
0:0:0:0:0:0:0:1 - - [25/May/2017:00:45:24 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:45:24 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:45:24 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:45:24 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:45:24 +0800] "GET /ecp-web/static/images/samsung.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:46:00 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8168
0:0:0:0:0:0:0:1 - - [25/May/2017:00:46:00 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:46:00 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:46:00 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:46:00 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:46:00 +0800] "GET /ecp-web/static/images/samsung.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:48:26 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8170
0:0:0:0:0:0:0:1 - - [25/May/2017:00:48:26 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:48:26 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:48:26 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:48:26 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:48:26 +0800] "GET /ecp-web/static/images/samsung.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:29 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8179
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:29 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:29 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:29 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:29 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:29 +0800] "GET /ecp-web/static/images/samsung.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:32 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8179
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:32 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:32 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:32 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:32 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:32 +0800] "GET /ecp-web/static/images/samsung.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:43 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8180
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:43 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:43 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:43 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:43 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:54:43 +0800] "GET /ecp-web/static/images/samsung.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:57:26 +0800] "GET /ecp-web/front/product/detail/2 HTTP/1.1" 200 8215
0:0:0:0:0:0:0:1 - - [25/May/2017:00:57:26 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:00:57:26 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
